código;Material/produto;Quantidade na embalagem;Classificação;Tipo;
;Bioglyco serum;50G;N.C;Não empréstimo;
;Kit cilios;12;N.C;Não empréstimo;
;Secante de esmalte ;200G;N.C;Não empréstimo;
;Mascara higienica;50;Higiene;Não empréstimo;
;Esfoliante;220G;N.C;Não empréstimo;
;Luva descartavel;100;Higiene;Não empréstimo;
;Tesoura c. ponta;1;Escritório ;Não empréstimo;
;Tecidos;3;N.C;Não empréstimo;
;Ziper;50;Escritório ;Não empréstimo;
;Abridor de casas;5;N.C;Não empréstimo;
;Agulha de costura;20;Escritório ;Não empréstimo;
;Cera depilatoria;1KG;N.C;Não empréstimo;
;Gola higienica;35M;Higiene;Não empréstimo;
;Acetona ;500ML;Higiene;Não empréstimo;
;Borrifador de agua;1;N.C;Não empréstimo;
;Loção pre depilatoria;500ML;Higiene;Não empréstimo;
;Amolecedor de cuticulas;120G;Higiene;Não empréstimo;
;Removedor;500ML;Higiene;Não empréstimo;
;Intensificador de cor;120;N.C;Não empréstimo;
;Lapis de olho;1;N.C;Não empréstimo;
;Po compacto;1;N.C;Não empréstimo;
;Espatula plastica;1;N.C;Não empréstimo;
;Agua oxigenada;4;N.C;Não empréstimo;
;Base seda;1;N.C;Não empréstimo;
;Oleo secante;60ML;N.C;Não empréstimo;
;Caneta branca;1;N.C;Não empréstimo;
;Pedra hume;30G;N.C;Não empréstimo;
;Esmalte;8G;N.C;Não empréstimo;
;Shaving gel;750G;N.C;Não empréstimo;
;Oregano;250G;Cozinha;Não empréstimo;
;Molho shoyu;900G;Cozinha;Não empréstimo;
;Chocolate em po;1KG;Cozinha;Não empréstimo;
;Molho de tomate;2KG;Cozinha;Não empréstimo;
;Leite em po;400G;Cozinha;Não empréstimo;
;Calorifico;500G;Cozinha;Não empréstimo;
;Creme de leite(culinario);500G;Cozinha;Não empréstimo;
;Azeite;500G;Cozinha;Não empréstimo;
;Chimishurri;500G;Cozinha;Não empréstimo;
;Bicabornato;250G;Cozinha;Não empréstimo;
;Coco ralado;250G;Cozinha;Não empréstimo;
;Sal;1KG;Cozinha;Não empréstimo;
;Lentilha;1KG;Cozinha;Não empréstimo;
;Amendoim moido;500G;Cozinha;Não empréstimo;
;Paprica defumada;500G;Cozinha;Não empréstimo;
;Vinho tinto;750ML;Cozinha;Não empréstimo;
;Suco de maracuja;500ML;Cozinha;Não empréstimo;
;Feijão carioca;1KG;Cozinha;Não empréstimo;
;Leite de coco;500ML;Cozinha;Não empréstimo;
;Farinha de rosca;500ag;Cozinha;Não empréstimo;
;Palmito de açai;800G;Cozinha;Não empréstimo;
;Vinagre de alcool;750ML;Cozinha;Não empréstimo;
;Sal grosso;1KG;Cozinha;Não empréstimo;
;Grao de bico;250G;Cozinha;Não empréstimo;
;Maionese;1KG;Cozinha;Não empréstimo;
;Po de café;1KG;Cozinha;Não empréstimo;
;Alho frito;500G;Cozinha;Não empréstimo;
;Trigo para Kibe ;500G;Cozinha;Não empréstimo;
